Clave de metrópoli,Tipo de metrópoli,Nombre de la metrópoli,Clave de municipio,Municipio,ODS,Nombre del ODS,Clave de indicador,Indicador,Año,Valor,Ponderador
13.1.01,Zona metropolitana,Pachuca,13048,Pachuca de Soto,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,193.803407520099,NA
13.1.01,Zona metropolitana,Pachuca,13039,Mineral del Monte,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,24.5953533188885,NA
13.1.01,Zona metropolitana,Pachuca,13082,Zapotlán de Juárez,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,16.7066959077477,NA
13.1.02,Zona metropolitana,Tulancingo,13077,Tulancingo de Bravo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,84.8040955096072,NA
13.1.02,Zona metropolitana,Tulancingo,13016,Cuautepec de Hinojosa,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,13.9704587329283,NA
13.1.02,Zona metropolitana,Tulancingo,13056,Santiago Tulantepec de Lugo Guerrero,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,19.3535424486456,NA
13.3.03,Zona conurbada,Atitalaquia,13010,Atitalaquia,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,1631.63374288603,NA
13.3.03,Zona conurbada,Atitalaquia,13074,Tlaxcoapan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,40.3988194008546,NA
14.1.01,Zona metropolitana,Guadalajara,14098,San Pedro Tlaquepaque,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,101.578713935392,NA
14.1.01,Zona metropolitana,Guadalajara,14097,Tlajomulco de Zúñiga,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,89.5210582939211,NA
14.1.01,Zona metropolitana,Guadalajara,14039,Guadalajara,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,225.114822128829,NA
14.1.01,Zona metropolitana,Guadalajara,14101,Tonalá,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,21.645061521285,NA
14.1.01,Zona metropolitana,Guadalajara,14120,Zapopan,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,170.476961818927,NA
14.1.01,Zona metropolitana,Guadalajara,14051,Juanacatlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,15.8739805993427,NA
14.1.01,Zona metropolitana,Guadalajara,14070,El Salto,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,269.614090316471,NA
