no,cve_ent,year,valor
36,22,2013,56.80805449590195
36,23,2013,46.07621757258199
36,24,2013,68.00609639150429
36,25,2013,54.507942247311675
36,26,2013,61.034017988081416
36,27,2013,84.05657183275173
36,28,2013,78.2382069931176
36,29,2013,90.99073268865769
36,30,2013,91.86411611940116
36,31,2013,60.25411058423994
36,32,2013,67.21083863208256
36,00,2014,77.54240602394721
36,01,2014,60.225630210085185
36,02,2014,56.85072075075182
36,03,2014,44.9402966059576
36,04,2014,64.94969712233076
36,05,2014,85.03058818474297
36,06,2014,81.07817193884469
36,07,2014,54.96906812547565
36,08,2014,67.03825971240113
36,09,2014,106.75414929000496
36,10,2014,60.43250715907968
36,11,2014,87.43240289445848
36,12,2014,70.09401529697172
36,13,2014,66.49782282739199
36,14,2014,71.88607567217633
36,15,2014,82.00030307770045
36,16,2014,85.90244683212946
36,17,2014,89.20346613234797
36,18,2014,61.405916759929895
36,19,2014,61.26317332765501
36,20,2014,72.74285388766839
36,21,2014,90.16369087081446
36,22,2014,59.73139856177307
36,23,2014,47.87237225556666
36,24,2014,68.86720337173828
36,25,2014,53.36334422765331
36,26,2014,61.58569037140667
36,27,2014,89.66786526845401
36,28,2014,79.22591217036104
36,29,2014,91.56335695031116
36,30,2014,100.6144770110018
36,31,2014,63.08002245780904
36,32,2014,70.66749226625211
36,00,2015,80.40713749103222
36,01,2015,61.94925218402721
36,02,2015,59.744662761195734
36,03,2015,48.46626186841547
36,04,2015,72.0769838889949
36,05,2015,89.582808585102
36,06,2015,92.67814991761176
36,07,2015,63.43879483741512
36,08,2015,69.63878676089901
36,09,2015,105.65734438186466
36,10,2015,60.058450938497025
36,11,2015,87.03298715624351
36,12,2015,86.86069698459431
36,13,2015,72.90718509349996
36,14,2015,74.07763027203008
36,15,2015,83.4416753415598
36,16,2015,86.27265617944713
36,17,2015,94.51065626963609
36,18,2015,65.64876326738982
36,19,2015,61.790050548590834
36,20,2015,81.09095612089192
36,21,2015,92.48654934863136
36,22,2015,56.29767323520323
36,23,2015,52.92305001388989
36,24,2015,64.74451082664109
36,25,2015,56.69670178859548
36,26,2015,63.84385538245781
36,27,2015,94.24344639268868
36,28,2015,84.51051895972637
36,29,2015,85.71139693491756
36,30,2015,105.71874177581265
36,31,2015,70.74506061143414
36,32,2015,68.25299606475915
36,00,2016,85.37115759698722
36,01,2016,59.3822490953714
36,02,2016,65.28946668045604
36,03,2016,49.5429329684117
36,04,2016,86.96132441122418
36,05,2016,88.50884695533496
36,06,2016,80.2971405982343
36,07,2016,65.31732539305462
36,08,2016,72.42069947077391
36,09,2016,111.19041374664069
36,10,2016,63.65168029366118
36,11,2016,92.39462949389488
36,12,2016,85.4725638593279
36,13,2016,77.0977071256319
36,14,2016,79.27737973815724
36,15,2016,89.75706562805061
36,16,2016,96.9459583041141
36,17,2016,105.19140284011674
36,18,2016,69.84700612587174
36,19,2016,65.38352275888055
36,20,2016,84.07038373503008
36,21,2016,102.57565871659796
36,22,2016,64.08749095167619
36,23,2016,57.81889617686418
36,24,2016,71.83867005627124
36,25,2016,58.923769063669326
36,26,2016,62.7564996458178
36,27,2016,103.55726569555144
36,28,2016,85.89046649916652
36,29,2016,99.22469808099888
36,30,2016,112.52603211910224
36,31,2016,70.5414844496785
36,32,2016,78.73597901032083
36,00,2017,85.12294219971582
36,01,2017,58.27459709591064
36,02,2017,68.26281602961684
36,03,2017,49.12273347707737
36,04,2017,77.58695935628685
36,05,2017,89.1008580933711
36,06,2017,78.50215164158239
36,07,2017,69.18057180452185
36,08,2017,73.08653841210364
36,09,2017,107.529579556424
36,10,2017,67.46578089443803
36,11,2017,95.5100284710066
36,12,2017,84.86060767273725
36,13,2017,76.35688677701233
36,14,2017,77.63983646661335
36,15,2017,90.38496181075315
36,16,2017,91.76886061048444
36,17,2017,108.19133961103968
36,18,2017,73.29929644154053
36,19,2017,65.06634359193373
36,20,2017,84.64997598754263
36,21,2017,104.42721080921136
36,22,2017,58.82871754738868
36,23,2017,50.12392239470729
36,24,2017,80.14369811192233
36,25,2017,57.863277716460736
36,26,2017,62.54353220294713
36,27,2017,110.2212973721525
36,28,2017,87.23216249265764
36,29,2017,99.18191810772014
36,30,2017,107.49608463610234
36,31,2017,71.149263830671
36,32,2017,76.1017230462819
36,00,2018,79.79153277499472
36,01,2018,49.32756689122387
36,02,2018,62.1048030798757
36,03,2018,50.48589470231261
36,04,2018,79.47914879011498
36,05,2018,78.50019209195335
36,06,2018,68.2734684957984
36,07,2018,69.62274039548295
36,08,2018,61.465743823843894
36,09,2018,98.5987064916803
36,10,2018,59.88500769560527
36,11,2018,88.87674702010334
36,12,2018,80.88739649196263
36,13,2018,74.30700287010389
36,14,2018,65.55679737388455
36,15,2018,88.28787327191365
36,16,2018,89.96972773411733
36,17,2018,98.91916047475138
36,18,2018,55.60713397254438
36,19,2018,56.77761576084392
36,20,2018,86.04431956937371
36,21,2018,99.1971828366003
36,22,2018,54.06715026970504
36,23,2018,47.140528007868454
36,24,2018,77.92891656248536
36,25,2018,54.30363687069646
36,26,2018,51.94571841300088
36,27,2018,107.75981099076432
36,28,2018,77.35439532398163
36,29,2018,99.40365243367948
36,30,2018,107.37709534047522
36,31,2018,63.21289735855074
36,32,2018,73.46683890558899
36,00,2019,81.41450126118902
36,01,2019,51.38066388273513
36,02,2019,62.292314715530885
36,03,2019,53.27430122919482
36,04,2019,82.78234119142482
36,05,2019,82.91000849021255
36,06,2019,76.36986763455803
36,07,2019,69.17273691219772
36,08,2019,64.71017496645958
36,09,2019,98.44728783501698
36,10,2019,63.85657996289927
36,11,2019,92.09039566204837
