no,indicador,cve_ent,year,valor
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1998,7.74198
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1998,11.91542
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1998,6.69005
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1998,7.07701
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1998,2.72225
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1998,8.84325
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,1999,2.52951
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,1999,26.30447
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,1999,8.04264
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,04,1999,11.12183
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,05,1999,6.26711
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,06,1999,11.17009
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,07,1999,15.44029
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,08,1999,17.98104
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,09,1999,12.01249
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,10,1999,14.5269
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,11,1999,5.41521
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,12,1999,30.73433
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,13,1999,5.16121
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,14,1999,8.58328
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,15,1999,16.38988
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,16,1999,15.73938
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,17,1999,19.8513
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,18,1999,13.30409
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,19,1999,2.80925
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,20,1999,22.64269
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,21,1999,8.83568
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,22,1999,6.54104
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,23,1999,9.99546
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,24,1999,12.30091
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,25,1999,20.50405
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,26,1999,12.81487
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,27,1999,7.71764
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,28,1999,10.44244
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,29,1999,7.69698
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,30,1999,6.30718
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,31,1999,2.03013
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,32,1999,5.94271
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,01,2000,1.75469
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,02,2000,17.62852
173,Tasa bruta anual de defunciones por homicidio por cada cien mil habitantes,03,2000,6.4206
